caseid_1979,prebirth_y,prebirth_m,int_m_prebirth,marstat_1979,marstat_1980,marstat_1981,marstat_1982,marstat_1983,marstat_1984,marstat_1985,marstat_1986,marstat_1987,marstat_1988,marstat_1989,marstat_1990,marstat_1991,marstat_1992,marstat_1993,marstat_1994,marstat_1996,marstat_1998,marstat_2000,marstat_2002,marstat_2004,mobg1m_xrnd,yrbg1m_xrnd,moen1m_xrnd,yren1m_xrnd,mobg2m_xrnd,yrbg2m_xrnd,moen2m_xrnd,yren2m_xrnd,mobg3m_xrnd,yrbg3m_xrnd,marstat_2006,marstat_2008,marstat_2010,marstat_2012
153,1984,2,-5.0,0,-5,-5,-5,-5,-5,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,-2,-2,2,2003,-997,-997,-997,-997,-997,-997,3,3,3,3
297,1977,10,,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,9,1977,-3,-3,7,1990,10,2005,-995,-995,3,3,3,3
471,1978,10,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-3,-3,-998,-998,-998,-998,-998,-998,-998,-998,1,1,1,1
906,1994,1,8.0,0,0,0,0,0,0,0,0,0,-5,0,0,0,0,0,1,1,1,1,1,3,10,1993,-3,-3,-997,-997,-997,-997,-997,-997,3,3,3,3
1212,1973,4,,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-3,-3,10,1981,-997,-997,-997,-997,-997,-997,3,3,3,3
1598,1991,2,6.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,8,1990,-3,-3,-997,-997,-997,-997,-997,-997,1,2,3,3
1723,1986,4,-5.0,0,0,0,0,0,0,0,-5,1,-5,-5,-5,-5,1,1,1,1,1,-5,1,1,-1,-1,-998,-998,-998,-998,-998,-998,-998,-998,-5,-5,1,-5
2175,1975,12,,2,2,1,2,1,1,1,1,1,1,1,2,2,3,3,3,3,1,1,1,1,6,1975,-3,-3,6,1997,3,2011,7,2012,1,1,2,1
2275,1983,9,3.0,0,0,0,0,0,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,7,1983,-3,-3,8,1989,-996,-996,-996,-996,1,1,1,1
2315,1977,7,,1,2,2,3,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,8,1974,9,1974,-3,-3,-3,-3,3,1978,2,1,1,6
2458,1976,7,,1,1,1,1,1,1,1,1,1,2,1,-5,3,3,3,1,3,3,3,3,1,4,1976,-3,-3,7,1989,10,1991,12,1993,-5,-5,1,-5
2640,1975,8,,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1,1,3
2705,1978,10,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,9,1978,-3,-3,3,1999,-996,-996,-996,-996,1,1,1,1
3120,1994,1,-5.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,-5,1,1,1,1,1,11,1990,-3,-3,6,1994,9,2007,-995,-995,1,3,3,3
3982,1978,6,,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,6,4,1978,-3,-3,9,1990,9,2002,-995,-995,6,6,6,6
4150,1989,3,6.0,0,1,3,3,3,3,3,3,3,2,1,1,1,1,1,1,-5,1,-5,-5,-5,12,1979,10,1980,11,1987,-3,-3,-2,1994,-5,3,3,3
4494,1984,5,3.0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,2,1,1,1,1,2,-3,-3,3,1995,8,1995,5,2006,-995,-995,3,3,3,3
4522,1987,4,-5.0,0,0,0,0,-5,0,-5,-5,-5,-5,0,0,0,0,2,0,-5,-5,-5,0,1,-3,1987,-998,-998,-998,-998,-998,-998,-998,-998,1,-5,-5,1
4713,1983,12,3.0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,-5,-5,1,-5,-5,-5,-5,-2,-2,-998,-998,-998,-998,-998,-998,-998,-998,-5,-5,1,1
5069,1977,8,,2,1,2,3,3,3,3,3,3,3,3,1,1,1,1,2,1,1,3,1,-5,5,1976,-3,-3,12,1989,4,2000,6,2001,1,1,1,1
5089,1982,7,2.0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,1982,-2,2011,-997,-997,-997,-997,-997,-997,2,2,2,3
5200,1978,8,,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,-5,-5,6,-5,-5,9,1976,-3,-3,3,1996,9,1998,-995,-995,-5,-5,-5,-5
5216,1982,6,2.0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,3,9,1978,-3,-3,2,1996,1,2002,-995,-995,3,3,3,3
5247,1982,9,3.0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-3,-3,-998,-998,-998,-998,-998,-998,-998,-998,1,1,1,1
5546,1994,1,8.0,0,0,0,0,0,0,1,1,1,3,1,2,3,3,3,1,1,1,1,1,1,5,1984,8,1987,8,1988,5,1991,8,1993,1,1,1,1
5888,1980,7,3.0,0,0,1,1,1,1,1,1,3,3,3,1,2,2,2,2,2,2,-5,-5,-5,-3,-3,6,1986,-3,-3,-996,-996,-996,-996,2,2,2,2
5947,1978,4,,2,2,2,2,2,2,2,1,-5,-5,-5,-5,1,1,1,1,-5,-5,-5,-5,1,-2,-2,-998,-998,-998,-998,-998,-998,-998,-998,1,1,1,1
5948,1978,1,,1,1,1,0,0,0,0,0,-5,0,0,0,0,1,1,1,3,3,-5,-5,-5,2,1977,-3,-3,2,1992,12,1995,-995,-995,3,3,3,3
5983,1982,12,3.0,0,0,0,0,1,2,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,8,1982,-3,-3,-997,-997,-997,-997,-997,-997,3,3,3,3
6221,1979,2,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,-3,-3,11,2002,-997,-997,-997,-997,-997,-997,3,3,3,3
6263,1976,5,,1,1,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,-5,7,1975,-3,-3,6,1986,-996,-996,-996,-996,-5,-5,-5,-5
6654,1978,9,,1,1,1,1,0,0,-5,-5,-5,-5,-5,-5,-5,1,1,1,1,1,1,1,2,10,1977,-3,-3,3,1985,-996,-996,-996,-996,2,2,2,2
6676,1978,2,,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,10,1977,-3,-3,5,1995,-996,-996,-996,-996,1,1,1,1
6787,1974,1,,2,2,2,2,2,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,-3,-3,2,1987,8,1987,-996,-996,-996,-996,1,1,1,1
7097,1973,11,,3,3,3,3,3,1,1,2,3,1,1,1,1,1,1,1,2,2,2,3,3,-2,1973,3,1976,7,1983,8,1986,7,1988,3,6,6,6
7246,1982,3,-5.0,0,0,0,-5,1,1,1,1,2,3,3,3,3,1,1,1,1,-5,-5,-5,-5,-3,-3,10,1988,8,1992,7,2004,-995,-995,3,3,3,3
7247,1984,2,-5.0,0,0,-5,-5,-5,-5,-5,-5,-5,2,2,-5,1,2,2,2,2,2,2,2,1,6,1982,-3,-3,8,2002,12,2007,-995,-995,2,3,3,3
7506,1994,3,-5.0,0,0,0,0,2,3,3,3,2,1,2,-5,-5,-5,-5,-5,1,1,1,1,1,6,1982,6,1983,3,1988,8,1990,2,1994,1,1,1,1
8093,1981,11,-5.0,0,0,-5,-5,-5,1,1,1,1,1,1,1,0,0,0,0,0,0,-5,-5,-5,-3,-3,-3,-3,-997,-997,-997,-997,-997,-997,0,-5,0,0
8283,1976,12,,1,1,2,1,2,2,3,3,3,0,0,0,0,0,0,0,0,0,-5,-5,-5,9,1976,-3,-3,-997,-997,-997,-997,-997,-997,-5,-5,-5,-5
8305,1978,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-3,-3,-998,-998,-998,-998,-998,-998,-998,-998,1,1,1,1
8512,1990,11,8.0,0,0,0,0,0,0,0,0,0,1,1,1,-5,1,1,1,1,-5,-5,-5,-5,8,1988,-3,-3,-997,-997,-997,-997,-997,-997,-5,-5,1,6
8888,1983,11,3.0,0,0,0,0,0,1,1,1,1,1,1,2,2,1,1,-5,1,2,3,3,3,6,1983,-3,-3,9,1991,7,2000,-995,-995,3,3,3,3
9371,1982,7,2.0,0,0,0,0,1,1,2,-5,2,2,2,0,0,0,0,0,0,0,0,0,0,3,1982,-3,-3,-997,-997,-997,-997,-997,-997,0,0,0,0
9434,1986,3,4.0,0,-5,0,0,1,1,1,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,8,1982,-3,-3,-997,-997,-997,-997,-997,-997,0,0,0,0
9953,1988,6,8.0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,3,3,3,3,3,3,1,6,1986,-3,-3,6,2003,-996,-996,-996,-996,1,1,1,1
9967,1973,8,,1,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,6,6,6,6
10332,1987,1,7.0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,2,11,1982,-3,-3,-997,-997,-997,-997,-997,-997,2,2,2,2
11765,1987,12,-5.0,0,0,0,0,0,0,0,0,-5,0,0,0,0,-5,-5,0,0,0,0,0,0,-3,-3,-998,-998,-998,-998,-998,-998,-998,-998,0,0,-5,1
11853,1987,7,-5.0,0,0,0,0,0,0,1,1,-5,-5,-5,3,-5,3,3,3,-5,3,-5,-5,1,12,1984,-3,-3,12,1999,-996,-996,-996,-996,-5,1,1,1
